Iteration	Equisetales_sigma2	Psilotales_sigma2	Ophioglossales_sigma2	Marattiales_sigma2	Osmundales_sigma2	Gleicheniales_sigma2	Hymenophyllales_sigma2	Schizaeales_sigma2	Salviniales_sigma2	Cyatheales_sigma2	Polypodiales_sigma2	Node_0_sigma2	Node_1_sigma2	Node_2_sigma2	Node_3_sigma2	Node_4_sigma2	Node_5_sigma2	Node_6_sigma2	Node_7_sigma2	Node_8_sigma2	Node_9_sigma2	Node_0_trait	Node_1_trait	Node_2_trait	Node_3_trait	Node_4_trait	Node_5_trait	Node_6_trait	Node_7_trait	Node_8_trait	Node_9_trait	ll
28	10572.537	25054.555	16602.143	8484.948	15298.958	17627.459	13513.83	20008.387	11274.237	16488.174	11952.512	12358.002	17650.084	17573.762	15916.852	9875.122	11742.419	21223.996	12604.266	11031.098	14132.527	291.21573	295.74738	327.63916	293.05118	298.95023	285.07733	295.93872	261.07666	228.71811	220.36465	-74.94112
29	17172.021	6855.7295	11848.587	21897.969	20862.713	12291.335	15661.718	10019.705	17372.385	13369.133	13441.889	10818.129	13202.835	11244.869	12557.461	14466.498	16876.54	9175.239	15869.819	16090.75	14653.59	345.36407	352.24405	412.59116	343.69196	335.3399	306.5675	303.75027	280.51666	237.71465	226.23326	-75.78671
30	10410.57	16019.827	15288.005	14176.777	19283.615	14522.19	12525.217	29130.5	15018.653	18302.424	18896.791	12724.049	13564.082	12530.641	19206.018	15115.934	13124.712	13678.644	15501.619	20389.05	11123.555	343.66052	342.4418	370.41873	332.54688	330.96722	312.98242	315.115	285.92456	234.78214	228.22324	-75.53103
31	10271.783	18565.982	15827.756	18334.885	20797.594	22821.223	12121.173	24355.836	13513.302	14748.167	17576.562	11958.212	14735.683	13916.834	19776.96	11827.498	11462.762	14687.854	11794.506	15972.567	10355.506	330.13153	331.63586	359.41943	325.2532	325.38376	311.77765	321.82196	287.09558	239.1625	231.36115	-75.238556
32	14708.516	8169.9243	13646.93	10549.8545	12541.424	9047.483	15591.393	5420.3916	14719.854	13674.118	8848.213	14675.8545	11219.707	12071.453	9563.049	20173.105	16869.25	15248.908	16736.809	12713.023	14242.338	270.81342	290.6979	369.57056	290.9967	305.71204	282.02142	274.74847	263.35742	229.26747	219.23946	-75.80515
33	11197.334	19495.041	13296.264	12317.526	12466.703	22478.17	12754.568	14302.527	13733.412	12243.03	9778.25	12149.156	15660.18	19995.016	20346.357	7966.076	11255.599	14118.922	10065.504	10205.688	19992.098	345.28195	342.6565	365.82037	335.35532	337.43503	318.44586	326.09512	293.08914	256.05353	235.35342	-75.14493
34	15847.164	9974.257	15839.172	16206.006	17824.635	9570.739	16310.774	13023.655	14540.192	17094.148	17558.701	17078.586	10755.941	10168.023	9150.353	11598.202	16931.334	15225.73	15930.079	19329.941	11693.93	324.85593	330.2782	379.33868	324.9219	321.05566	291.81525	283.35425	269.45035	224.12956	217.98566	-75.67888
35	12600.348	16993.371	14012.375	10270.52	18051.678	12920.2705	17203.346	13441.453	12891.102	22101.375	10435.162	19069.281	9791.958	10925.781	13789.766	7137.1978	12305.621	12743.747	12639.764	9346.93	18035.658	330.0728	326.31314	351.94946	315.82782	313.47635	292.142	289.75113	269.37567	242.49544	231.48732	-74.80948
36	12253.695	14858.255	16694.5	7967.2236	10817.375	16191.099	13511.188	16819.645	16434.719	9155.607	18313.6	12776.628	17428.424	20882.898	10574.604	13379.222	14596.475	14606.013	16418.004	14001.287	10903.226	244.55151	272.44928	347.08624	277.6775	298.59415	284.04095	290.89117	257.01288	219.59831	210.46632	-75.86735
37	17807.219	16978.857	12506.978	16024.763	19223.445	15941.645	15452.571	11326.592	8011.705	20488.422	9907.732	13812.272	10360.089	9103.342	23299.332	11742.665	17311.375	10153.353	8298.859	17243.818	16474.672	387.67368	376.55798	384.7297	353.46533	343.56625	308.50684	308.94138	288.7456	227.78906	219.64554	-75.200356
38	14532.152	9480.315	15721.951	8949.38	13656.59	18950.969	17095.5	16777.463	17741.264	8204.342	16926.846	15275.268	18621.129	13603.736	12747.782	15546.611	9479.665	16217.817	25633.91	8534.388	10667.467	241.39131	275.5512	358.44925	277.67267	292.6536	282.44025	287.68042	241.82141	218.77165	209.04688	-76.013504
39	13725.032	10080.451	8180.4185	11952.842	22186.84	10763.494	11306.68	12948.333	11967.213	16164.223	11964.451	18444.143	14625.067	10718.178	14972.99	16098.993	14921.203	8059.4014	5866.628	19082.562	15641.97	342.39835	338.31232	369.4147	326.4452	319.33282	296.1101	296.85416	285.00577	230.28354	220.78891	-75.398575
40	13373.877	24265.766	18216.488	17799.137	19547.148	19310.244	18221.336	24991.695	12664.729	11293.727	14832.374	14434.251	13883.653	7322.3	10493.973	9304.844	11209.408	16588.564	13831.531	10408.844	18016.336	185.98546	214.90068	244.95883	222.79742	235.13237	231.36551	242.45721	216.21867	195.58148	188.83846	-75.50082
41	12039.697	27356.543	14614.889	17309.938	14315.409	19856.523	15902.635	20482.404	14905.715	12660.297	14543.632	17362.496	14563.7295	8850.973	9675.267	6789.163	13362.16	18770.363	14009.889	10922.136	16578.963	232.8117	256.26187	279.23724	263.01083	272.50443	263.53357	274.71503	243.85422	218.22992	208.61877	-75.29063
42	17915.623	8031.5034	15236.072	8766.621	24386.727	9231.307	16136.037	11490.496	11446.169	6471.4414	13416.263	11484.975	14244.484	22430.781	12854.935	14980.589	16427.965	14786.671	11121.465	19292.96	6770.774	242.7801	260.68207	392.4572	257.76993	260.9564	244.56055	243.92477	232.26396	186.09866	182.04248	-75.34473
43	8228.326	17184.898	12578.952	15561.86	17264.88	15745.148	12054.266	24932.682	12857.779	11591.822	18435.209	15191.704	14222.779	11555.432	16978.986	13238.44	11719.663	6919.7075	15154.935	10276.251	17220.99	290.3517	299.47943	331.23474	298.3719	303.54642	289.95917	294.09955	260.09885	229.6378	216.86201	-75.192215
44	21135.145	12912.055	9383.709	15629.892	22975.395	10877.697	13944.135	8100.859	11493.259	15620.429	15473.733	17299.178	13529.743	19768.305	12075.586	12735.886	12799.238	10796.793	15040.411	16254.282	9485.335	334.64664	329.3256	367.49332	321.06396	314.91476	294.83655	292.6545	270.83936	224.6348	219.05045	-75.20692
45	10974.184	13992.638	17379.113	13644.262	14135.103	19165.691	15233.995	12252.246	15550.704	18142.113	14796.264	10049.523	15869.0625	9343.882	15000.774	17610.102	11169.594	11843.639	13541.503	13755.629	14659.823	402.12625	390.3326	408.66565	376.0067	366.26352	342.93558	342.36737	311.0025	266.18622	253.1134	-75.57136
46	15663.241	16166.272	9718.203	14936.949	10044.475	9814.256	16011.625	12532.768	15308.854	14052.28	16787.371	9105.869	11600.769	20806.582	14193.525	11809.621	18472.555	9606.961	6750.992	14930.241	11254.386	345.65305	343.41687	364.3285	338.4904	340.2523	298.88043	292.9828	285.8263	242.16035	233.0423	-75.88659
47	12285.967	13523.783	19308.477	12213.491	19565.5	22446.574	13462.903	13117.9795	9858.965	13644.7295	10150.845	14043.171	17011.256	8282.421	16322.507	15854.692	9260.289	19919.398	25831.412	12792.173	16726.787	328.9608	334.74033	366.00082	326.59238	326.60614	314.86627	324.3542	264.07507	223.62769	213.49396	-74.92595
48	18173.629	15074.904	20013.75	10250.597	20402.123	6785.3438	19921.26	13944.533	12798.237	17645.438	8996.856	15199.138	13881.495	17097.31	7067.123	8401.77	16433.402	7512.8257	12889.564	20192.873	15591.481	309.15112	305.1115	362.5306	298.8019	293.37964	261.61493	253.15244	248.24063	207.7887	202.86514	-75.07855
49	9405.391	14884.89	8590.348	13396.369	14018.282	12467.964	11076.574	13267.966	13479.965	8897.52	15688.312	13186.301	13755.59	10858.336	18760.95	16894.11	11888.236	22385.562	17933.453	11820.642	12479.193	306.05188	311.62027	336.0275	308.91522	315.66232	298.4587	304.65628	263.2721	225.93878	214.40836	-75.22971
50	17523.723	18575.37	23058.5	17156.684	9844.064	16836.64	17581.607	16972.203	17679.312	19313.375	9191.687	16000.772	14426.283	15635.705	11581.402	14731.678	8163.6313	11656.084	11150.054	12622.995	17139.266	300.46353	314.19464	357.2541	316.14084	327.61353	313.068	312.08942	291.1441	255.06953	240.81537	-75.900375
51	9574.574	12639.812	8422.749	11082.587	13104.163	11378.604	11839.088	13461.439	10523.999	6970.8477	19465.465	10262.873	12782.393	13081.824	16812.557	16039.548	21024.717	11523.857	17079.514	15075.752	10635.52	301.18466	308.46732	344.56827	306.41605	315.2304	285.05585	287.79654	252.48483	204.61551	195.66577	-75.370056
52	16971.184	16657.938	17605.4	14660.425	14508.361	19159.168	17750.742	11215.717	16699.596	19637.863	10110.837	18594.281	16789.244	11685.535	11670.332	11454.927	9053.922	17902.012	9569.042	13727.61	18968.254	351.67145	348.45123	374.76685	341.49387	339.046	322.25656	321.73004	302.08746	260.68036	244.60767	-75.18005
